,handle,handle_name,followers between 200 and 400
665,@tKisHaNOffiCiaL =293,@tKisHaNOffiCiaL,293
676,@jeetuRSS =308,@jeetuRSS,308
682,@Sandeep06466056 =290,@Sandeep06466056,290
685,@RaulBaba =316,@RaulBaba,316
693,@JayDhariwal1 =218,@JayDhariwal1,218
699,@DarkKnight0768 =329,@DarkKnight0768,329
701,@Sumitfugen =290,@Sumitfugen,290
716,@MODIFIED_AJ7 =310,@MODIFIED_AJ7,310
727,@JSureeli =332,@JSureeli,332
738,@SpringKumar4 =282,@SpringKumar4,282
740,@rio10314 =390,@rio10314,390
744,@palsavan1 =245,@palsavan1,245
756,@Dipanshu341 =320,@Dipanshu341,320
759,@viprmishra =203,@viprmishra,203
769,@sandeepjaikisan =253,@sandeepjaikisan,253
770,@Badboycheeta =300,@Badboycheeta,300
774,@Arjun53509905 =222,@Arjun53509905,222
778,@R1Ravendrakumar =310,@R1Ravendrakumar,310
779,@the_almsgiver =350,@the_almsgiver,350
784,@iam_akshukla =326,@iam_akshukla,326
796,@MalaviaNilesh =352,@MalaviaNilesh,352
825,@BhartiyBrahmin =223,@BhartiyBrahmin,223
826,@SaffronSniper07 =399,@SaffronSniper07,399
831,@Ahupadhyay =369,@Ahupadhyay,369
833,@AakashParekh12 =357,@AakashParekh12,357
840,@naveen_choungad =259,@naveen_choungad,259
846,@SKumartanwar =267,@SKumartanwar,267
849,@RAGHVEN54938158 =351,@RAGHVEN54938158,351
855,@FaizulAzeem9 =212,@FaizulAzeem9,212
870,@kapiraj_rk =388,@kapiraj_rk,388
871,@gauravpurbiya1 =334,@gauravpurbiya1,334
881,@it_preeti_ =321,@it_preeti_,321
887,@akki_c96 =352,@akki_c96,352
901,@chetansingh099 =278,@chetansingh099,278
903,@_KanhaRo_45 =371,@_KanhaRo_45,371
904,@LadyDonLady =318,@LadyDonLady,318
905,@sachinshukla28 =391,@sachinshukla28,391
907,@rajk0206 =231,@rajk0206,231
912,@vardilal2 =337,@vardilal2,337
916,@Prince_adityan =246,@Prince_adityan,246
919,@EliServices =343,@EliServices,343
921,@Ontisalaga4 =252,@Ontisalaga4,252
947,@HUKAMCHANDSUTH2 =257,@HUKAMCHANDSUTH2,257
959,@Rahulku76028737 =352,@Rahulku76028737,352
969,@upasna0 =351,@upasna0,351
971,@vijaynaithani67 =388,@vijaynaithani67,388
988,@MirzaSa01939899 =393,@MirzaSa01939899,393
997,@ankitkr_01 =262,@ankitkr_01,262
1000,@godara_official =318,@godara_official,318
1001,@amara5632 =231,@amara5632,231
1004,@GhughutiServic2 =265,@GhughutiServic2,265
1013,@Sachinsahu01sk =271,@Sachinsahu01sk,271
1033,@Nayra46103425 =317,@Nayra46103425,317
1049,@Santosh66640318 =306,@Santosh66640318,306
1058,@Jitendr93692782 =320,@Jitendr93692782,320
1068,@KaurGunjann =304,@KaurGunjann,304
1070,@NLyN27BkMFc5QOg =244,@NLyN27BkMFc5QOg,244
1072,@Sidheswar_1 =217,@Sidheswar_1,217
1077,@RamanDudiRJ =280,@RamanDudiRJ,280
1083,@Rahul_Dubey_7 =396,@Rahul_Dubey_7,396
1084,@Shubham__BJP =346,@Shubham__BJP,346
1087,@HuPF5M6dCzE1KX0 =348,@HuPF5M6dCzE1KX0,348
1103,@Mahi_parmar_ =340,@Mahi_parmar_,340
1106,@praveenmukul =219,@praveenmukul,219
1116,@Saksham15410429 =330,@Saksham15410429,330
1134,@vaibhavgupte6 =319,@vaibhavgupte6,319
1137,@killintimeontwt =368,@killintimeontwt,368
1144,@Sarcast54624145 =273,@Sarcast54624145,273
1152,@Sukhramdass6 =383,@Sukhramdass6,383
1153,@RamPras92445582 =338,@RamPras92445582,338
1162,@NOTYELEMENT =397,@NOTYELEMENT,397
1164,@Yogesh70033994 =258,@Yogesh70033994,258
1167,@coolicykool =229,@coolicykool,229
1174,@Ghotiya =208,@Ghotiya,208
1183,@Murshid_Khan33 =220,@Murshid_Khan33,220
1202,@imBarkati =327,@imBarkati,327
1208,@YogeshKamble31 =320,@YogeshKamble31,320
1213,@Pinku05672592 =346,@Pinku05672592,346
1218,@BeniwalJagmal =226,@BeniwalJagmal,226
