,handle,handle_name,followers
121,@Girdharilalgoyl =1187,@Girdharilalgoyl,1187
122,@bidhyarthi2007 =1370,@bidhyarthi2007,1370
123,@RoflLover =2611,@RoflLover,2611
124,@prahladjoshi121 =1946,@prahladjoshi121,1946
125,@VikassJV =2208,@VikassJV,2208
126,@Shubhampandey8_ =1083,@Shubhampandey8_,1083
127,@team_hisar123 =443,@team_hisar123,443
128,@HalkatL =1188,@HalkatL,1188
129,@Kapilrajsingh02 =2848,@Kapilrajsingh02,2848
130,@daspolash455 =140,@daspolash455,140
131,@Anshuma01173051 =2030,@Anshuma01173051,2030
132,@sachinhindu7980 =192,@sachinhindu7980,192
133,@BeenaGoswami4 =39,@BeenaGoswami4,39
134,@sakshipatel3333 =738,@sakshipatel3333,738
135,@PreetiS85083048 =282,@PreetiS85083048,282
136,@dinesh_varpe =108,@dinesh_varpe,108
137,@Babitas22605246 =833,@Babitas22605246,833
138,@Pmoresd =11551,@Pmoresd,11551
139,@Arunav7 =452,@Arunav7,452
140,@GudduMandal01 =1338,@GudduMandal01,1338
141,@Pooja11114 =395,@Pooja11114,395
142,@Saurabh25708165 =165,@Saurabh25708165,165
143,@amol_singhRP =680,@amol_singhRP,680
144,@NewGizmoBlog =4226,@NewGizmoBlog,4226
145,@drckpandey21 =1224,@drckpandey21,1224
146,@ashokkapur14 =10349,@ashokkapur14,10349
147,@BatraPardyuman =266,@BatraPardyuman,266
148,@gum_ho_gayi =66,@gum_ho_gayi,66
149,@jangra_narnaund =555,@jangra_narnaund,555
150,@Digvijay119 =982,@Digvijay119,982
151,@Bradleeye =5185,@Bradleeye,5185
152,@SangeetaGawali =16811,@SangeetaGawali,16811
153,@real__monu =88,@real__monu,88
154,@itsShasankJ =734,@itsShasankJ,734
155,@sakshipatel4444 =678,@sakshipatel4444,678
156,@pradeepsrkian =1248,@pradeepsrkian,1248
157,@Brijendrrajput =2732,@Brijendrrajput,2732
158,@rajanshu20 =931,@rajanshu20,931
159,@Santosh_bjpit =1554,@Santosh_bjpit,1554
160,@Himansh33031760 =254,@Himansh33031760,254
161,@RahulVe93162988 =50,@RahulVe93162988,50
162,@JaiShre18401443 =389,@JaiShre18401443,389
163,@edisonr40762141 =5080,@edisonr40762141,5080
164,@GodaraArmy =933,@GodaraArmy,933
165,@HimawariNuhara =655,@HimawariNuhara,655
166,@BrahmaParody =637,@BrahmaParody,637
167,@Gauravsh_Pandit =2156,@Gauravsh_Pandit,2156
168,@Yoshi88001 =4563,@Yoshi88001,4563
169,@KAFIR_EKFIRKA =1465,@KAFIR_EKFIRKA,1465
170,@Subhash31839173 =8202,@Subhash31839173,8202
171,@djmspeaks =893,@djmspeaks,893
172,@KadirCh51465911 =208,@KadirCh51465911,208
173,@Chintan_Manan =1173,@Chintan_Manan,1173
174,@Pushkarti007 =251,@Pushkarti007,251
175,@krishanac07 =747,@krishanac07,747
176,@iNirajSaw =2073,@iNirajSaw,2073
177,@soni61yh =427,@soni61yh,427
178,@MataPra86688545 =861,@MataPra86688545,861
179,@rashmika14 =760,@rashmika14,760
180,@BhambhuPapsa =761,@BhambhuPapsa,761
181,@faisal_bais =629,@faisal_bais,629
182,@ballebajvidhayk =322,@ballebajvidhayk,322
183,@RepublicanFoun =441,@RepublicanFoun,441
184,@AashishDongre =619,@AashishDongre,619
185,@amityadav141 =317,@amityadav141,317
186,@PunmSuthar =1032,@PunmSuthar,1032
187,@admsnsolution =445,@admsnsolution,445
188,@ILovePolitics14 =1389,@ILovePolitics14,1389
189,@rpsapkota1 =1739,@rpsapkota1,1739
190,@RoutSmarika =1011,@RoutSmarika,1011
191,@shubham842001 =5741,@shubham842001,5741
192,@Sharmat0012 =1921,@Sharmat0012,1921
193,@agarwalk863 =1810,@agarwalk863,1810
194,@JeniferWilams =386,@JeniferWilams,386
195,@RadheSaroha =811,@RadheSaroha,811
196,@Rishabh67960515 =480,@Rishabh67960515,480
197,@neha_somu =1127,@neha_somu,1127
198,@amitk230 =539,@amitk230,539
199,@AshishAviPandey =4616,@AshishAviPandey,4616
200,@SarkarJanvi =626,@SarkarJanvi,626
201,@ShaharulAlam6 =1044,@ShaharulAlam6,1044
202,@rakeshmeena6795 =197,@rakeshmeena6795,197
203,@VimalKumarPal19 =203,@VimalKumarPal19,203
204,@tech_rein =390,@tech_rein,390
205,@DRamaSudhakar =279,@DRamaSudhakar,279
206,@JanviPriya1 =622,@JanviPriya1,622
207,@xCAEi5HfOu5Kbt0 =283,@xCAEi5HfOu5Kbt0,283
208,@snghrahul01 =95,@snghrahul01,95
209,@JhaRickey =192,@JhaRickey,192
210,@dhveer14 =170,@dhveer14,170
211,@BhiwadiYadav =802,@BhiwadiYadav,802
212,@pawanjaiswal_pj =1343,@pawanjaiswal_pj,1343
213,@MohdZameerKhan8 =856,@MohdZameerKhan8,856
214,@Prashant_er9 =50,@Prashant_er9,50
215,@iBharatputra =865,@iBharatputra,865
216,@ABHISHE00503767 =321,@ABHISHE00503767,321
217,@rajmadesia =121,@rajmadesia,121
218,@PrachiT47547457 =70,@PrachiT47547457,70
219,@adarshshuk786 =543,@adarshshuk786,543
220,@SKumarSpeaks_ =84,@SKumarSpeaks_,84
221,@lal_muntun =1946,@lal_muntun,1946
222,@MiskeRoland =6753,@MiskeRoland,6753
223,@alok_pattanaik1 =294,@alok_pattanaik1,294
224,@dsn0912 =560,@dsn0912,560
225,@MukeshKhedar5 =596,@MukeshKhedar5,596
226,@ranjanpatel108 =447,@ranjanpatel108,447
227,@2LMKCCDYKKfcFpL =129,@2LMKCCDYKKfcFpL,129
228,@Satyam_0077 =1200,@Satyam_0077,1200
229,@_12345ji =481,@_12345ji,481
230,@kisme_toffee =690,@kisme_toffee,690
231,@TheIndianLion2 =2744,@TheIndianLion2,2744
232,@arun31jan =593,@arun31jan,593
233,@pritamjoshi40 =528,@pritamjoshi40,528
234,@MaddyRupalti =2183,@MaddyRupalti,2183
235,@SatSahe26740300 =1266,@SatSahe26740300,1266
236,@DilHiZindagi =467,@DilHiZindagi,467
237,@soullkrish =1707,@soullkrish,1707
238,@PrakashVaran08 =368,@PrakashVaran08,368
239,@Salazar06636964 =435,@Salazar06636964,435
240,@pseudo__world =261,@pseudo__world,261
241,@VaishaliHinduu =5294,@VaishaliHinduu,5294
242,@csvyas1996 =240,@csvyas1996,240
243,@who2_guess =1109,@who2_guess,1109
244,@krishna108kk =240,@krishna108kk,240
245,@GarimaM53400210 =653,@GarimaM53400210,653
246,@DntSpillDaBeans =280,@DntSpillDaBeans,280
247,@CebFormulas =4433,@CebFormulas,4433
248,@Satyend11371050 =518,@Satyend11371050,518
249,@SunilBi60217557 =158,@SunilBi60217557,158
250,@MandalDelhiVale =526,@MandalDelhiVale,526
251,@oshorajesh101 =116,@oshorajesh101,116
252,@SoniSanatani =217,@SoniSanatani,217
253,@Abhishe48616173 =2531,@Abhishe48616173,2531
254,@CurrentlyWeb =5348,@CurrentlyWeb,5348
255,@machopankaj =402,@machopankaj,402
