,handle,handle_name,followers between 5000 and 10000
4,@maxx_bindas =6969,@maxx_bindas,6969
6,@Vrushabchougale =9846,@Vrushabchougale,9846
8,@1sachin0 =8188,@1sachin0,8188
9,@imBnand =5380,@imBnand,5380
29,@atropized_m2 =5314,@atropized_m2,5314
79,@Shilpa_crazy =5156,@Shilpa_crazy,5156
87,@nigelmoran =9679,@nigelmoran,9679
98,@aayushsaran =9495,@aayushsaran,9495
99,@im_Hrastogi =5343,@im_Hrastogi,5343
151,@Bradleeye =5185,@Bradleeye,5185
163,@edisonr40762141 =5080,@edisonr40762141,5080
170,@Subhash31839173 =8202,@Subhash31839173,8202
191,@shubham842001 =5741,@shubham842001,5741
222,@MiskeRoland =6753,@MiskeRoland,6753
241,@VaishaliHinduu =5294,@VaishaliHinduu,5294
254,@CurrentlyWeb =5348,@CurrentlyWeb,5348
279,@HITENDRA_SINH =8137,@HITENDRA_SINH,8137
291,@smnahar =6450,@smnahar,6450
329,@shankarlalmla =9365,@shankarlalmla,9365
334,@z_p9955 =5187,@z_p9955,5187
353,@money4213gh =7153,@money4213gh,7153
363,@Lovedos85829437 =5502,@Lovedos85829437,5502
370,@Airtel754936 =5716,@Airtel754936,5716
455,@trineshmondal =7547,@trineshmondal,7547
471,@Maitray34754240 =8724,@Maitray34754240,8724
508,@mr_anu_07 =6021,@mr_anu_07,6021
527,@Ujwal__ =5040,@Ujwal__,5040
586,@BindassGirl8 =5657,@BindassGirl8,5657
588,@RealViRenDraPal =6071,@RealViRenDraPal,6071
603,@Sharukh6399 =7316,@Sharukh6399,7316
674,@HarshidDesai_ =8578,@HarshidDesai_,8578
696,@Deewanimeera =6466,@Deewanimeera,6466
747,@JitendrTwariRSS =8084,@JitendrTwariRSS,8084
754,@NeerajPathakNRJ =8436,@NeerajPathakNRJ,8436
758,@sunil101k =6759,@sunil101k,6759
806,@Lovelif62067600 =6635,@Lovelif62067600,6635
812,@HnHitesh =5479,@HnHitesh,5479
864,@Ajnanahanta =6562,@Ajnanahanta,6562
873,@Lovebr01 =7175,@Lovebr01,7175
889,@Nahi_batayenge =6014,@Nahi_batayenge,6014
890,@paresha_patel16 =6063,@paresha_patel16,6063
935,@J_MSharma =6431,@J_MSharma,6431
953,@rajbababa =5346,@rajbababa,5346
957,@DangerousAashiq =7134,@DangerousAashiq,7134
982,@ItsAvneet11 =6404,@ItsAvneet11,6404
986,@H_indC_60 =9952,@H_indC_60,9952
989,@neha7822 =6645,@neha7822,6645
1007,@Beautif53372542 =5627,@Beautif53372542,5627
1041,@Djskrock =6540,@Djskrock,6540
1043,@PARVEENSINGHC13 =5162,@PARVEENSINGHC13,5162
1051,@chikenbiriyani2 =5845,@chikenbiriyani2,5845
1052,@BigBoos6299 =7160,@BigBoos6299,7160
1055,@TwitteLove4 =8318,@TwitteLove4,8318
1064,@PKNAREDA25 =8138,@PKNAREDA25,8138
1082,@PujaRan77090 =7208,@PujaRan77090,7208
1085,@sanjugupta1987 =6320,@sanjugupta1987,6320
1086,@RaviRaj77090 =7130,@RaviRaj77090,7130
1089,@Krishna108kk1 =5522,@Krishna108kk1,5522
1096,@acidv1p3r =5335,@acidv1p3r,5335
1105,@itskatu =9990,@itskatu,9990
1226,@rajeevpraj =7293,@rajeevpraj,7293
1232,@BalramS55671001 =5385,@BalramS55671001,5385
1269,@ballia_mafiya =9339,@ballia_mafiya,9339
1286,@AlshafeiRest =8231,@AlshafeiRest,8231
1317,@BJPIndia2019 =5493,@BJPIndia2019,5493
1337,@RajStraight =5177,@RajStraight,5177
1388,@SANGRAMHIMACHLI =6192,@SANGRAMHIMACHLI,6192
1435,@kembajayaprakas =5007,@kembajayaprakas,5007
1480,@sonee6yh =5558,@sonee6yh,5558
1482,@ashiiwordsworth =7332,@ashiiwordsworth,7332
1487,@KomalrajGochar_ =7554,@KomalrajGochar_,7554
1513,@Verma18311652 =9523,@Verma18311652,9523
1514,@Ghanist123 =7163,@Ghanist123,7163
1571,@shyam_chastwa =7541,@shyam_chastwa,7541
1575,@DangiRaghuwar =6125,@DangiRaghuwar,6125
1619,@khushisharma86 =8436,@khushisharma86,8436
1623,@Jitender80006 =5896,@Jitender80006,5896
1635,@singh_ramesh =8806,@singh_ramesh,8806
1671,@JAILEND72082336 =6435,@JAILEND72082336,6435
1676,@rishisi23624943 =5847,@rishisi23624943,5847
1682,@girlsfa28429500 =5029,@girlsfa28429500,5029
1684,@dineshjangid_Om =7708,@dineshjangid_Om,7708
1690,@rajusagwal =5658,@rajusagwal,5658
1692,@Piyushp1551 =6086,@Piyushp1551,6086
1776,@yogiputinnath =9978,@yogiputinnath,9978
1800,@rame5h_ =8727,@rame5h_,8727
1816,@Rajeevdut =5360,@Rajeevdut,5360
1817,@NehaPatel1111 =6455,@NehaPatel1111,6455
1844,@dinesh_chohan1 =5851,@dinesh_chohan1,5851
1848,@maheshattri1 =5218,@maheshattri1,5218
1888,@kar5han_ =5203,@kar5han_,5203
1891,@Jayan0077 =5402,@Jayan0077,5402
1908,@shivpsd =8551,@shivpsd,8551
1923,@animalayh =6978,@animalayh,6978
1924,@suman54202999 =5167,@suman54202999,5167
1931,@PapaTweets_ =5109,@PapaTweets_,5109
1944,@JainKiran6 =5986,@JainKiran6,5986
1954,@kittu_kashyap =5889,@kittu_kashyap,5889
1976,@Deepika95725357 =6064,@Deepika95725357,6064
1985,@Vision20193 =6004,@Vision20193,6004
1993,@antedboys =5382,@antedboys,5382
1997,@IFC_India =5740,@IFC_India,5740
2020,@vermakharegupta =6374,@vermakharegupta,6374
2027,@Mr_Swatantra =6327,@Mr_Swatantra,6327
2043,@gopal_moriya =7833,@gopal_moriya,7833
2053,@Amaresh45814810 =5032,@Amaresh45814810,5032
2078,@MrDevTiwari =7956,@MrDevTiwari,7956
2093,@pallavi12347 =5675,@pallavi12347,5675
2149,@bhuwanmelkani90 =6089,@bhuwanmelkani90,6089
2153,@bd_razia =8241,@bd_razia,8241
2196,@rohitgodara657 =5254,@rohitgodara657,5254
2229,@engineervivek =5695,@engineervivek,5695
2258,@Ra_v_n_ =5863,@Ra_v_n_,5863
2265,@Chahat_60 =6799,@Chahat_60,6799
2267,@PankajK64520047 =5955,@PankajK64520047,5955
2269,@RupaRan38719481 =5143,@RupaRan38719481,5143
2274,@VeerSinghKhata1 =7694,@VeerSinghKhata1,7694
2304,@Kundan_k3 =7219,@Kundan_k3,7219
2307,@Sabu4mjupitor =6862,@Sabu4mjupitor,6862
2313,@VijainderUbba =6564,@VijainderUbba,6564
2324,@RakhiMirdda =8751,@RakhiMirdda,8751
2332,@PawanDixitINC =7342,@PawanDixitINC,7342
2333,@Aabhashawasthi =6461,@Aabhashawasthi,6461
2338,@dkkdkdnd425__ey =6218,@dkkdkdnd425__ey,6218
2344,@dsinghattri =5211,@dsinghattri,5211
2372,@JustFol95761693 =8208,@JustFol95761693,8208
2373,@KCN1eRameshpraj =9134,@KCN1eRameshpraj,9134
2380,@rajeshmodimodi =5135,@rajeshmodimodi,5135
2381,@rijal_laxmi =7031,@rijal_laxmi,7031
2392,@rudra_piddibust =6165,@rudra_piddibust,6165
2408,@PanditJ68555585 =6165,@PanditJ68555585,6165
2433,@Real_arpitmi =5138,@Real_arpitmi,5138
2455,@Manishjain0005 =5236,@Manishjain0005,5236
2474,@Madan001mishra =6814,@Madan001mishra,6814
2476,@manojku05742927 =7458,@manojku05742927,7458
2506,@abhinav4namo =5054,@abhinav4namo,5054
2507,@AshokYadavIN =6158,@AshokYadavIN,6158
2566,@SUNITAVYASBJP =8394,@SUNITAVYASBJP,8394
2579,@thebrajeshs =7759,@thebrajeshs,7759
2606,@SaveWat18562111 =6058,@SaveWat18562111,6058
2636,@vishvmtiwari =7102,@vishvmtiwari,7102
2693,@Abhi_singh1811 =5519,@Abhi_singh1811,5519
2696,@abhinav29602941 =5379,@abhinav29602941,5379
2698,@Nyadav52 =6442,@Nyadav52,6442
2720,@AkashSi11538617 =8691,@AkashSi11538617,8691
2743,@Amzn_IN_Deals =7503,@Amzn_IN_Deals,7503
2745,@ArjunWelcome3 =7330,@ArjunWelcome3,7330
2753,@Janvi35204943 =6499,@Janvi35204943,6499
2762,@Riya43421649 =7521,@Riya43421649,7521
2763,@HM_rathi =8234,@HM_rathi,8234
2770,@lover_pubji =5166,@lover_pubji,5166
2777,@SophiaMelnykUA =5877,@SophiaMelnykUA,5877
