,handle,handle_name,followers between 2000 and 5000
27,@Shivkum35080780 =2090,@Shivkum35080780,2090
28,@VinodSwami_IAF =4710,@VinodSwami_IAF,4710
30,@KAMAALAZAD =4452,@KAMAALAZAD,4452
36,@Deepak_07rd =4440,@Deepak_07rd,4440
49,@DrJiblal =3885,@DrJiblal,3885
50,@shaikhsonu_007 =2673,@shaikhsonu_007,2673
52,@sethia_b =4083,@sethia_b,4083
55,@Akanksh35385597 =2067,@Akanksh35385597,2067
67,@Mohitt_Verma =2683,@Mohitt_Verma,2683
70,@kanhatanna =2698,@kanhatanna,2698
71,@MOHDHAS55533994 =2405,@MOHDHAS55533994,2405
91,@piyushtofficial =4482,@piyushtofficial,4482
104,@KouravSurendra1 =4991,@KouravSurendra1,4991
105,@Real__Akash =2110,@Real__Akash,2110
114,@Chandrakant_cb5 =3078,@Chandrakant_cb5,3078
123,@RoflLover =2611,@RoflLover,2611
125,@VikassJV =2208,@VikassJV,2208
129,@Kapilrajsingh02 =2848,@Kapilrajsingh02,2848
131,@Anshuma01173051 =2030,@Anshuma01173051,2030
144,@NewGizmoBlog =4226,@NewGizmoBlog,4226
157,@Brijendrrajput =2732,@Brijendrrajput,2732
167,@Gauravsh_Pandit =2156,@Gauravsh_Pandit,2156
168,@Yoshi88001 =4563,@Yoshi88001,4563
176,@iNirajSaw =2073,@iNirajSaw,2073
199,@AshishAviPandey =4616,@AshishAviPandey,4616
231,@TheIndianLion2 =2744,@TheIndianLion2,2744
234,@MaddyRupalti =2183,@MaddyRupalti,2183
247,@CebFormulas =4433,@CebFormulas,4433
253,@Abhishe48616173 =2531,@Abhishe48616173,2531
277,@MohdKarimDidar =2388,@MohdKarimDidar,2388
281,@Aastha_dasi =3060,@Aastha_dasi,3060
284,@dave_neel =4370,@dave_neel,4370
309,@RajmaniRChauhan =4874,@RajmaniRChauhan,4874
319,@Pindi___Boy =2775,@Pindi___Boy,2775
333,@UmaRaj_94 =2285,@UmaRaj_94,2285
344,@pintubjp02 =2113,@pintubjp02,2113
359,@unisha_sharma =3872,@unisha_sharma,3872
378,@RanbirNag =3664,@RanbirNag,3664
380,@Vande_matarm19 =2758,@Vande_matarm19,2758
383,@virendr75705379 =4832,@virendr75705379,4832
390,@jdrao81700 =2061,@jdrao81700,2061
392,@Varsha_45 =3414,@Varsha_45,3414
398,@narendramodipg1 =3757,@narendramodipg1,3757
408,@Real_Vish5 =3275,@Real_Vish5,3275
434,@SumitGollenRor =4934,@SumitGollenRor,4934
435,@Lovengers1 =2197,@Lovengers1,2197
436,@HIMANI_RAJPOOT =2144,@HIMANI_RAJPOOT,2144
442,@kumarghanshyam0 =2561,@kumarghanshyam0,2561
445,@sisodia_sneha =3328,@sisodia_sneha,3328
465,@Ramshobhikumar1 =3202,@Ramshobhikumar1,3202
472,@Avinash03810101 =2399,@Avinash03810101,2399
474,@ilost_myjourney =3078,@ilost_myjourney,3078
482,@BhupalMahatha =2366,@BhupalMahatha,2366
494,@Rac_IYC =2497,@Rac_IYC,2497
501,@ihaveadreamtc =4481,@ihaveadreamtc,4481
514,@SanjivYadav108 =3428,@SanjivYadav108,3428
518,@AbuzarKhan72 =4554,@AbuzarKhan72,4554
532,@itsRaviTiwari =2418,@itsRaviTiwari,2418
542,@Piya35990131 =2130,@Piya35990131,2130
546,@MaryHillhouse3 =4110,@MaryHillhouse3,4110
555,@rakeshpande_IND =3311,@rakeshpande_IND,3311
564,@Sexy05556 =4854,@Sexy05556,4854
567,@_ChandraKumar =2813,@_ChandraKumar,2813
574,@Kaludas62847537 =2627,@Kaludas62847537,2627
582,@AdrienneGranet =2403,@AdrienneGranet,2403
587,@kash2312 =3401,@kash2312,3401
589,@funny_talented =3625,@funny_talented,3625
591,@arun2us1 =2297,@arun2us1,2297
594,@Vikk72p =2154,@Vikk72p,2154
597,@elephantlife6 =4200,@elephantlife6,4200
600,@mr_same_26 =2308,@mr_same_26,2308
604,@Shruthi_Jain15 =3298,@Shruthi_Jain15,3298
608,@mistervikashray =2373,@mistervikashray,2373
609,@RAJESHS89711674 =2294,@RAJESHS89711674,2294
620,@SaurabhVatsa17 =2310,@SaurabhVatsa17,2310
622,@M0536203022 =2226,@M0536203022,2226
626,@itsgoat2 =2039,@itsgoat2,2039
633,@LovelyShruti5 =2780,@LovelyShruti5,2780
634,@DictatorIND =2827,@DictatorIND,2827
640,@IamIndi39832709 =3118,@IamIndi39832709,3118
643,@AmritanjaliK =2071,@AmritanjaliK,2071
650,@Prakash80Mishra =2371,@Prakash80Mishra,2371
655,@tripathiji1999 =2896,@tripathiji1999,2896
658,@PinkiKashyap143 =2370,@PinkiKashyap143,2370
669,@KetanPatel51 =4510,@KetanPatel51,4510
677,@jayparsuraam =3740,@jayparsuraam,3740
691,@pari887 =3764,@pari887,3764
692,@kattpae =4959,@kattpae,4959
694,@Vivek99Boxer =3364,@Vivek99Boxer,3364
698,@Farhad_Bandari =3924,@Farhad_Bandari,3924
704,@Trinetra0551 =3123,@Trinetra0551,3123
708,@Sandeep36685698 =3661,@Sandeep36685698,3661
712,@WalyaMayank =2291,@WalyaMayank,2291
713,@rajeevdabral =4156,@rajeevdabral,4156
718,@JaTin_ShRmA_Ji =3897,@JaTin_ShRmA_Ji,3897
736,@iamjite9 =2254,@iamjite9,2254
737,@Pardeepv988 =2041,@Pardeepv988,2041
739,@ChaukidarDhana2 =2640,@ChaukidarDhana2,2640
742,@bhatnagar2016 =3171,@bhatnagar2016,3171
773,@Vardilal1 =2862,@Vardilal1,2862
777,@Yourthink2 =4378,@Yourthink2,4378
782,@Kishanr45118725 =4104,@Kishanr45118725,4104
816,@SharmadineshS =3133,@SharmadineshS,3133
822,@Saurajmalviya =2406,@Saurajmalviya,2406
835,@SUPERINDIANIST =4070,@SUPERINDIANIST,4070
837,@FernandeDieudo1 =3494,@FernandeDieudo1,3494
841,@PriGodoy1303 =4488,@PriGodoy1303,4488
853,@Sanjeev60377993 =2472,@Sanjeev60377993,2472
863,@AnilReja =3006,@AnilReja,3006
865,@SharmaHBSuraj1 =2198,@SharmaHBSuraj1,2198
868,@aksrivastava23 =2462,@aksrivastava23,2462
869,@VrajSingh007 =3533,@VrajSingh007,3533
874,@isaurabhbjp =3995,@isaurabhbjp,3995
877,@vikash_Bjym =2980,@vikash_Bjym,2980
878,@PHchore =2295,@PHchore,2295
882,@guddu_dr =2679,@guddu_dr,2679
888,@khiladi_girl =2879,@khiladi_girl,2879
898,@EarthAnshu =2375,@EarthAnshu,2375
899,@BhimSinghINC =2618,@BhimSinghINC,2618
914,@adityaism =2699,@adityaism,2699
915,@AnitaSi67735735 =2612,@AnitaSi67735735,2612
918,@Bhairav17276072 =2580,@Bhairav17276072,2580
930,@AgraMedia_ =4284,@AgraMedia_,4284
934,@sonuverma99 =4463,@sonuverma99,4463
936,@Sureshsolankki =3029,@Sureshsolankki,3029
952,@Vinubha48672724 =3272,@Vinubha48672724,3272
958,@Mobi_56 =2491,@Mobi_56,2491
965,@vin8737 =4845,@vin8737,4845
967,@MGarg64 =2138,@MGarg64,2138
970,@aapkabhaai =4793,@aapkabhaai,4793
974,@kumarashishbjym =2452,@kumarashishbjym,2452
978,@pyarnafrat2 =2448,@pyarnafrat2,2448
985,@rastrvadi4 =3020,@rastrvadi4,3020
990,@Indian18836710 =2742,@Indian18836710,2742
994,@ShubashTyagi =2683,@ShubashTyagi,2683
996,@SocietyNA9 =3219,@SocietyNA9,3219
1010,@Manishs16565528 =3082,@Manishs16565528,3082
1025,@iamharishnaga =2809,@iamharishnaga,2809
1029,@Ashu5886 =4271,@Ashu5886,4271
1039,@Zingal_Bell =3110,@Zingal_Bell,3110
1042,@Lgsahu1 =3621,@Lgsahu1,3621
1045,@sinu_29 =3567,@sinu_29,3567
1060,@loraj00 =2600,@loraj00,2600
1063,@F_KanganaRanaut =3518,@F_KanganaRanaut,3518
1065,@iamsushilkumarv =2685,@iamsushilkumarv,2685
1073,@vishakhamishra_ =4416,@vishakhamishra_,4416
1075,@iamdipk =2282,@iamdipk,2282
1088,@Rpm57_ =2597,@Rpm57_,2597
1091,@Shaileshstupid =2511,@Shaileshstupid,2511
1092,@Bhavya__singh =3866,@Bhavya__singh,3866
1093,@ReianSpeaks =2799,@ReianSpeaks,2799
1094,@ArunPal83066450 =4969,@ArunPal83066450,4969
1097,@Devesh51371415 =3286,@Devesh51371415,3286
1108,@SushantSinha3 =2653,@SushantSinha3,2653
1113,@itsShivajiRaj =2010,@itsShivajiRaj,2010
1120,@Real_Sisodia =4985,@Real_Sisodia,4985
1124,@Lalsingh70 =2430,@Lalsingh70,2430
1128,@PAYAL347 =2016,@PAYAL347,2016
1136,@SudarshanTvMzn =2149,@SudarshanTvMzn,2149
1146,@utsavpansari =2101,@utsavpansari,2101
1165,@BewafaZindagi_ =4150,@BewafaZindagi_,4150
1166,@iGaur07 =2090,@iGaur07,2090
1185,@DeepakS88854422 =2085,@DeepakS88854422,2085
1194,@riyachoudharri =2294,@riyachoudharri,2294
1211,@ykkhime =4211,@ykkhime,4211
1231,@KSingh_12 =3089,@KSingh_12,3089
1239,@BharatParmarr =2143,@BharatParmarr,2143
1251,@Santosh46952411 =2556,@Santosh46952411,2556
1252,@ABHIJIT_1432 =3060,@ABHIJIT_1432,3060
1256,@thakurRajvardh5 =2092,@thakurRajvardh5,2092
1259,@1Rakeshmishra =2663,@1Rakeshmishra,2663
1264,@realsatyam9 =4665,@realsatyam9,4665
1272,@JadaunGanesh =3149,@JadaunGanesh,3149
1277,@DrAvinash_Rode =4502,@DrAvinash_Rode,4502
1289,@Vineets28931144 =2239,@Vineets28931144,2239
1309,@The_NiteshRudra =3707,@The_NiteshRudra,3707
1318,@Pavan_Mandre =3787,@Pavan_Mandre,3787
1330,@drashishsarkar =2386,@drashishsarkar,2386
1331,@Sandy49363539 =2755,@Sandy49363539,2755
1332,@bharatia2 =3708,@bharatia2,3708
1334,@socialmediatbn =2350,@socialmediatbn,2350
1340,@Srijana_Khanal =2213,@Srijana_Khanal,2213
1341,@sunitabdr =2638,@sunitabdr,2638
1355,@Satenderkm =4319,@Satenderkm,4319
1357,@sukhramdas51 =2767,@sukhramdas51,2767
1364,@parmeshpareek =3244,@parmeshpareek,3244
1368,@unic_heart =2210,@unic_heart,2210
1382,@Maida_dileep =2441,@Maida_dileep,2441
1387,@Dev16133427 =3001,@Dev16133427,3001
1390,@PathakPathakuk =4763,@PathakPathakuk,4763
1396,@JaganNKaushik =2341,@JaganNKaushik,2341
1398,@EA2q9faaltdklMt =3113,@EA2q9faaltdklMt,3113
1411,@MahadeoTiwari =2085,@MahadeoTiwari,2085
1417,@NehaMis52265784 =2083,@NehaMis52265784,2083
1422,@murari_byahut =2015,@murari_byahut,2015
