,handle,handle_name,followers between 10000 and 20000
51,@jashrawat =11851,@jashrawat,11851
113,@imshilpirajput =11544,@imshilpirajput,11544
138,@Pmoresd =11551,@Pmoresd,11551
146,@ashokkapur14 =10349,@ashokkapur14,10349
152,@SangeetaGawali =16811,@SangeetaGawali,16811
285,@maheshvarig11 =11783,@maheshvarig11,11783
328,@sagarika_India =19539,@sagarika_India,19539
358,@Oshoshiva =10956,@Oshoshiva,10956
388,@imAbhishek_20 =19773,@imAbhishek_20,19773
421,@boozzoman =10792,@boozzoman,10792
519,@tuhinshuvra_das =11450,@tuhinshuvra_das,11450
525,@Raushan_099 =10107,@Raushan_099,10107
579,@getazadi =13584,@getazadi,13584
625,@_janfanacc =10356,@_janfanacc,10356
641,@vrma_you =15549,@vrma_you,15549
705,@MagDivina =11830,@MagDivina,11830
762,@vikramgaurbdr =10317,@vikramgaurbdr,10317
785,@MuhammadKhursid =15594,@MuhammadKhursid,15594
802,@AnandKumarS1967 =11284,@AnandKumarS1967,11284
850,@55nwaf55 =14691,@55nwaf55,14691
941,@Singh__KK =15049,@Singh__KK,15049
961,@VikashMTripa =19381,@VikashMTripa,19381
1177,@iShivprasad =11712,@iShivprasad,11712
1217,@vijay2437888367 =14832,@vijay2437888367,14832
1296,@NationFirst0010 =14566,@NationFirst0010,14566
1301,@TPlakrapong =11554,@TPlakrapong,11554
1363,@DeopaBS =14332,@DeopaBS,14332
1424,@ChandreshK_ =15260,@ChandreshK_,15260
1466,@BitcoinRacoon =10079,@BitcoinRacoon,10079
1485,@vishaldutt1304 =15043,@vishaldutt1304,15043
1506,@anilriyamathur =14512,@anilriyamathur,14512
1598,@masti_ki_duniya =12306,@masti_ki_duniya,12306
1600,@Pari_singh_ =15828,@Pari_singh_,15828
1702,@singhbikashbjp =12249,@singhbikashbjp,12249
1767,@RaviKapoor =16240,@RaviKapoor,16240
1775,@Harshad4BJP =11818,@Harshad4BJP,11818
1785,@PiyushSingh009 =10417,@PiyushSingh009,10417
1829,@shekhawat24 =10281,@shekhawat24,10281
1841,@ImmatureBoy_ =13922,@ImmatureBoy_,13922
1865,@MUKESHDAS16 =18870,@MUKESHDAS16,18870
1870,@psrimanta =10030,@psrimanta,10030
1883,@arunodaykumar92 =10815,@arunodaykumar92,10815
2069,@ani_royal007 =14179,@ani_royal007,14179
2079,@amodranjan1 =10794,@amodranjan1,10794
2082,@Mr_Das_ =15121,@Mr_Das_,15121
2224,@AbhishekDurgCG =12513,@AbhishekDurgCG,12513
2262,@sa1im_ =11177,@sa1im_,11177
2287,@GChadana =10808,@GChadana,10808
2318,@_Heena_khan_ =16645,@_Heena_khan_,16645
2377,@MunnaGuru_ =11614,@MunnaGuru_,11614
2385,@ASmyrnov =13304,@ASmyrnov,13304
2399,@premraj00 =10993,@premraj00,10993
2496,@Majorsahab24 =10230,@Majorsahab24,10230
2536,@sorryfor143 =10094,@sorryfor143,10094
2629,@tutchipeenergia =11062,@tutchipeenergia,11062
2724,@pandit_ans =18208,@pandit_ans,18208
2799,@iPallavi_Singh =11806,@iPallavi_Singh,11806
2819,@Mhaque9 =15070,@Mhaque9,15070
2830,@MarathaPratap =13260,@MarathaPratap,13260
2839,@iSaumyaPandey =13499,@iSaumyaPandey,13499
2856,@Its_Sneha_ =11614,@Its_Sneha_,11614
2857,@jitendrapandeyg =10800,@jitendrapandeyg,10800
2860,@sumanraofc =13287,@sumanraofc,13287
2884,@tripathiamit04 =16112,@tripathiamit04,16112
2928,@Priyamishra790 =11411,@Priyamishra790,11411
2953,@Babluku54396430 =10019,@Babluku54396430,10019
3024,@TheSavage_Girl =13587,@TheSavage_Girl,13587
3034,@88kanhaiyalal =10510,@88kanhaiyalal,10510
3043,@maheshwarisr =13699,@maheshwarisr,13699
3140,@Earth_ToHeaven =14606,@Earth_ToHeaven,14606
3142,@BK_Bhartiy2 =10065,@BK_Bhartiy2,10065
3214,@MWakeel999 =10137,@MWakeel999,10137
3269,@ajeet_ankita =10461,@ajeet_ankita,10461
