,handle,handle_name,followers between 200 and 400
8,@Deepakk86239019 =339,@Deepakk86239019,339
16,@RepublicanFoun =354,@RepublicanFoun,354
19,@isajid19 =226,@isajid19,226
50,@dir_Rahul05 =348,@dir_Rahul05,348
51,@SharvanKumar622 =310,@SharvanKumar622,310
54,@DipakKadiya =242,@DipakKadiya,242
78,@akki_c96 =338,@akki_c96,338
90,@Ahmads_voice =308,@Ahmads_voice,308
109,@Munderushi111 =262,@Munderushi111,262
114,@ManojJa88608306 =315,@ManojJa88608306,315
115,@NeerajMohan1 =338,@NeerajMohan1,338
123,@nayak_saubhagya =254,@nayak_saubhagya,254
126,@iambhavsar =244,@iambhavsar,244
136,@bhuvannaruka =324,@bhuvannaruka,324
141,@manishanup1975 =276,@manishanup1975,276
149,@alk6ssy =321,@alk6ssy,321
151,@Nsv2909 =216,@Nsv2909,216
163,@ballebajvidhayk =277,@ballebajvidhayk,277
172,@Akshay8668_ =357,@Akshay8668_,357
184,@ravindrafaujda =379,@ravindrafaujda,379
199,@KhurshidAimim =223,@KhurshidAimim,223
206,@cryptorider4 =269,@cryptorider4,269
224,@NIKHILT60254633 =386,@NIKHILT60254633,386
234,@RamsureshI =237,@RamsureshI,237
245,@Rishabh67960515 =295,@Rishabh67960515,295
247,@kuldeeppanwar08 =308,@kuldeeppanwar08,308
255,@TheRock67896718 =359,@TheRock67896718,359
258,@ppooja006 =307,@ppooja006,307
263,@Pooja11114 =309,@Pooja11114,309
268,@DRamaSudhakar =249,@DRamaSudhakar,249
269,@Langda007 =360,@Langda007,360
283,@Mahi_parmar_ =326,@Mahi_parmar_,326
287,@San148jeev =214,@San148jeev,214
290,@hirdeshsingh25 =217,@hirdeshsingh25,217
297,@KashapParveen =240,@KashapParveen,240
299,@vijaynaithani67 =348,@vijaynaithani67,348
314,@admsnsolution =372,@admsnsolution,372
321,@abdulramish =255,@abdulramish,255
323,@Arunav7 =374,@Arunav7,374
324,@kambojanuj3 =202,@kambojanuj3,202
325,@JitendraMeenain =285,@JitendraMeenain,285
331,@amitgarg144 =391,@amitgarg144,391
332,@AameenIyc =348,@AameenIyc,348
335,@RahulPatelDhru1 =238,@RahulPatelDhru1,238
337,@Real_RK1 =347,@Real_RK1,347
338,@Sachin_mishra90 =285,@Sachin_mishra90,285
341,@SachinC12138582 =262,@SachinC12138582,262
