,handle,handle_name,followers between 10000 and 20000
36,@tripathiamit04 =16111,@tripathiamit04,16111
74,@mqaashishsenior =10116,@mqaashishsenior,10116
88,@Ulman_Ka =10110,@Ulman_Ka,10110
288,@falah_alkhiat =12604,@falah_alkhiat,12604
320,@AnkitKu57725141 =12447,@AnkitKu57725141,12447
351,@temiz33 =15714,@temiz33,15714
376,@tanayvasu =10589,@tanayvasu,10589
377,@amit_487 =10367,@amit_487,10367
387,@rakeshj79124181 =12663,@rakeshj79124181,12663
447,@Real_moni_ =11823,@Real_moni_,11823
534,@parmod__delhi =17547,@parmod__delhi,17547
547,@ajayrkt =10648,@ajayrkt,10648
578,@abvp1satyam =10095,@abvp1satyam,10095
586,@bhagatsingharmy =13932,@bhagatsingharmy,13932
588,@pandit_ans =18171,@pandit_ans,18171
600,@PramodM61231713 =10194,@PramodM61231713,10194
701,@sa1im_ =11204,@sa1im_,11204
711,@ritesh21d =17963,@ritesh21d,17963
719,@VinodRajotiya82 =12719,@VinodRajotiya82,12719
756,@pradeep_pani =16744,@pradeep_pani,16744
764,@jain_prachur =14559,@jain_prachur,14559
784,@IGorishThakur =11799,@IGorishThakur,11799
823,@7V7___ =14519,@7V7___,14519
828,@5_t_8 =10242,@5_t_8,10242
829,@7lvv_ =11116,@7lvv_,11116
847,@hor5R =19405,@hor5R,19405
850,@lookinghot__12 =10016,@lookinghot__12,10016
862,@7a___ml =16015,@7a___ml,16015
866,@y7y___ =13536,@y7y___,13536
879,@Satyakarm14 =14580,@Satyakarm14,14580
907,@pkbahini =10321,@pkbahini,10321
982,@CThanaram =13617,@CThanaram,13617
1003,@ThakurNRI =10334,@ThakurNRI,10334
1005,@AtulgahlotBjp =15131,@AtulgahlotBjp,15131
1012,@ASHOK04M =13870,@ASHOK04M,13870
1014,@ckguju1 =10184,@ckguju1,10184
1049,@tankarvind =19078,@tankarvind,19078
1051,@AnjaliS43804884 =14446,@AnjaliS43804884,14446
1058,@i_am_IBBU =13243,@i_am_IBBU,13243
1098,@AbhishekDurgCG =12465,@AbhishekDurgCG,12465
1113,@DeopaBS =14335,@DeopaBS,14335
1141,@comon_11q =11530,@comon_11q,11530
1355,@RaviKapoor =16269,@RaviKapoor,16269
1359,@Pari_singh_ =15691,@Pari_singh_,15691
1396,@Radha_Rani_IND =16117,@Radha_Rani_IND,16117
1415,@_sunilshukl =11801,@_sunilshukl,11801
1426,@jitendrapandeyg =10741,@jitendrapandeyg,10741
1442,@Krishna07780510 =10600,@Krishna07780510,10600
1446,@ImmatureBoy_ =14119,@ImmatureBoy_,14119
1448,@Mr_Das_ =15141,@Mr_Das_,15141
1575,@DeshbhaktYadav =17233,@DeshbhaktYadav,17233
1576,@sdl_singh =11864,@sdl_singh,11864
1584,@premraj00 =11012,@premraj00,11012
1586,@parveentiwary11 =14881,@parveentiwary11,14881
1612,@rktiwari25 =12980,@rktiwari25,12980
1625,@PKSRanaG =16721,@PKSRanaG,16721
1626,@gr_sharma =14087,@gr_sharma,14087
1638,@iAnamikaSmith =17558,@iAnamikaSmith,17558
1648,@mrraisahab =12366,@mrraisahab,12366
1691,@Santosh_fb =17004,@Santosh_fb,17004
1782,@RayNiyati_23 =10997,@RayNiyati_23,10997
1799,@iAakash_Agarwal =19251,@iAakash_Agarwal,19251
1802,@zM96BLpOyxg9I8J =19037,@zM96BLpOyxg9I8J,19037
