,handle,handle_name,followers between 2000 and 5000
2,@anandpdwivedi =4527,@anandpdwivedi,4527
4,@ANJALI_MEENA1 =2080,@ANJALI_MEENA1,2080
6,@Gulshan84644184 =2032,@Gulshan84644184,2032
10,@njvirani6902 =3690,@njvirani6902,3690
14,@KrSuvir =4423,@KrSuvir,4423
44,@yogendra_raturi =3855,@yogendra_raturi,3855
47,@Rahul_rastrwadi =3456,@Rahul_rastrwadi,3456
57,@Bhavya__singh =3877,@Bhavya__singh,3877
60,@VikassJV =2078,@VikassJV,2078
62,@Narayan_GuRjr =4137,@Narayan_GuRjr,4137
63,@Bhanwar88200727 =4704,@Bhanwar88200727,4704
64,@Im_RAPandey =2778,@Im_RAPandey,2778
66,@toshichandra =2738,@toshichandra,2738
86,@sachin140778 =2836,@sachin140778,2836
91,@KurmiAashish2 =2365,@KurmiAashish2,2365
95,@Abhishe48616173 =2012,@Abhishe48616173,2012
100,@Mohitt_Verma =2604,@Mohitt_Verma,2604
102,@sethia_b =4079,@sethia_b,4079
131,@Pappulal111 =3043,@Pappulal111,3043
166,@BJPRaghubir =3187,@BJPRaghubir,3187
175,@UrstrulyArya18 =2352,@UrstrulyArya18,2352
178,@rss_vineet =4071,@rss_vineet,4071
179,@jha_manojGZB =2343,@jha_manojGZB,2343
203,@kanhatanna =2719,@kanhatanna,2719
212,@ramchandraloya1 =3945,@ramchandraloya1,3945
220,@VijayTwittes =3352,@VijayTwittes,3352
232,@tripathiji1999 =2862,@tripathiji1999,2862
243,@MOHDHAS55533994 =2328,@MOHDHAS55533994,2328
254,@KAMAALAZAD =4425,@KAMAALAZAD,4425
256,@NewGizmoBlog =4212,@NewGizmoBlog,4212
259,@Gaganaroraaaa =2713,@Gaganaroraaaa,2713
261,@TripathiSnigdh =2191,@TripathiSnigdh,2191
270,@Khiladi_Fan01 =2511,@Khiladi_Fan01,2511
275,@harshtweetsnow =2452,@harshtweetsnow,2452
276,@snatht =3561,@snatht,3561
279,@01marutsingh =2654,@01marutsingh,2654
298,@Imukeshsaran =2056,@Imukeshsaran,2056
300,@RadheHindustani =2568,@RadheHindustani,2568
330,@RajaNahataCG =2777,@RajaNahataCG,2777
336,@Rajeshm12378937 =2791,@Rajeshm12378937,2791
353,@mahadev2810 =2099,@mahadev2810,2099
365,@himanshu625 =4977,@himanshu625,4977
369,@VipinAaryan =2278,@VipinAaryan,2278
381,@AjaySin16795605 =3535,@AjaySin16795605,3535
390,@shvaikovsky =3460,@shvaikovsky,3460
399,@bhatnagar2016 =3189,@bhatnagar2016,3189
448,@Yourthink2 =4269,@Yourthink2,4269
454,@Zingal_Bell =3127,@Zingal_Bell,3127
471,@NEj80eQSeQiYAxI =3036,@NEj80eQSeQiYAxI,3036
480,@Aastha_dasi =2928,@Aastha_dasi,2928
481,@iParitosh92 =2717,@iParitosh92,2717
486,@BehtreenH =2491,@BehtreenH,2491
491,@ShripraShukla =4326,@ShripraShukla,4326
496,@myself_palak =2338,@myself_palak,2338
498,@Ramshobhikumar1 =3199,@Ramshobhikumar1,3199
529,@RupenderParash1 =3439,@RupenderParash1,3439
533,@ASHOKPBJP =4348,@ASHOKPBJP,4348
535,@AGENTOF01011076 =2067,@AGENTOF01011076,2067
540,@Abhishe96841338 =4689,@Abhishe96841338,4689
543,@donsidhnath =2187,@donsidhnath,2187
559,@DivyaTi59958169 =3659,@DivyaTi59958169,3659
562,@ChaukidarDhana2 =2513,@ChaukidarDhana2,2513
563,@omparkashdahiya =4746,@omparkashdahiya,4746
574,@Shivambjpit =2115,@Shivambjpit,2115
577,@mohanshrestha77 =2263,@mohanshrestha77,2263
579,@vipinsinghmehta =2908,@vipinsinghmehta,2908
585,@SSrivastava555 =2662,@SSrivastava555,2662
592,@IamKaran_Sood =4373,@IamKaran_Sood,4373
596,@KARANBHARTI1696 =2631,@KARANBHARTI1696,2631
615,@real_sachin007 =2681,@real_sachin007,2681
619,@Sandy49363539 =2628,@Sandy49363539,2628
620,@ChiranjiMimrot2 =2029,@ChiranjiMimrot2,2029
625,@Onkar_Pandey3 =3625,@Onkar_Pandey3,3625
632,@iamarjun143 =2702,@iamarjun143,2702
634,@MKindian9 =3779,@MKindian9,3779
640,@shivam30895 =3514,@shivam30895,3514
645,@Ritesh_HINDU =2922,@Ritesh_HINDU,2922
654,@Sanghi4Bharat =3022,@Sanghi4Bharat,3022
656,@PrabhatSomvansh =2410,@PrabhatSomvansh,2410
658,@Gabbar_01 =2670,@Gabbar_01,2670
663,@Vipul74757597 =4109,@Vipul74757597,4109
669,@babapnc =2290,@babapnc,2290
670,@singhnakul622 =3129,@singhnakul622,3129
673,@Gauripatil24 =2004,@Gauripatil24,2004
676,@SunnyCh42730236 =4488,@SunnyCh42730236,4488
677,@Deepti_Panthi =4034,@Deepti_Panthi,4034
680,@sunitabdr =2547,@sunitabdr,2547
681,@its_abhithakur =4611,@its_abhithakur,4611
687,@PMPATEl1969 =3634,@PMPATEl1969,3634
689,@Piya35990131 =2070,@Piya35990131,2070
703,@iamsonubaba =2826,@iamsonubaba,2826
712,@AvinashBulbul =3396,@AvinashBulbul,3396
716,@ilost_myjourney =3039,@ilost_myjourney,3039
723,@Laboni007 =4090,@Laboni007,4090
726,@Dheerajgohpur95 =2114,@Dheerajgohpur95,2114
732,@Lalsingh70 =2330,@Lalsingh70,2330
739,@Shaitaan_Pari =2355,@Shaitaan_Pari,2355
