,handle,handle_name,followers between 1000 and 2000
0,@RamKumarJangr12 =1240,@RamKumarJangr12,1240
3,@bikki_pandit =1181,@bikki_pandit,1181
13,@Its_surajbhatt =1566,@Its_surajbhatt,1566
34,@bharatiya1208 =1898,@bharatiya1208,1898
38,@SouNitish =1879,@SouNitish,1879
48,@SatishD56336323 =1072,@SatishD56336323,1072
61,@ram_b1d =1300,@ram_b1d,1300
68,@Mrk_Sandeep =1996,@Mrk_Sandeep,1996
75,@Anshuma01173051 =1985,@Anshuma01173051,1985
76,@MahaveerG1 =1559,@MahaveerG1,1559
77,@AmitRai7309 =1869,@AmitRai7309,1869
80,@hindu0981 =1877,@hindu0981,1877
83,@Gudiya9799 =1064,@Gudiya9799,1064
99,@SatSahe26740300 =1250,@SatSahe26740300,1250
103,@SumitPurwar059 =1426,@SumitPurwar059,1426
111,@krishdeewani =1263,@krishdeewani,1263
122,@Suman01290412 =1927,@Suman01290412,1927
138,@SharfeA71527428 =1549,@SharfeA71527428,1549
140,@Mahendr61429544 =1802,@Mahendr61429544,1802
142,@OfficeArun =1362,@OfficeArun,1362
143,@ChorCongress420 =1659,@ChorCongress420,1659
169,@KajolSaxena7 =1444,@KajolSaxena7,1444
177,@jems__0088___77 =1799,@jems__0088___77,1799
181,@ModijiAchchehai =1689,@ModijiAchchehai,1689
191,@ChudasmaAnshu =1343,@ChudasmaAnshu,1343
194,@RamakantAazad =1088,@RamakantAazad,1088
195,@PappuGothwal =1723,@PappuGothwal,1723
196,@AdarshP60904261 =1090,@AdarshP60904261,1090
209,@NamasteC1994 =1793,@NamasteC1994,1793
214,@Ravi83645942 =1307,@Ravi83645942,1307
218,@KumarAtul1965 =1139,@KumarAtul1965,1139
226,@bramhan_babu =1446,@bramhan_babu,1446
227,@PradipSingh86 =1260,@PradipSingh86,1260
231,@sukhraj1996 =1582,@sukhraj1996,1582
235,@PintuMahatha =1117,@PintuMahatha,1117
253,@Ishwarc62953658 =1838,@Ishwarc62953658,1838
260,@SagarRathod137 =1010,@SagarRathod137,1010
265,@mukeshshah29 =1368,@mukeshshah29,1368
266,@ILovePolitics14 =1275,@ILovePolitics14,1275
291,@Nageshwar21 =1413,@Nageshwar21,1413
292,@PawanSaxena143 =1725,@PawanSaxena143,1725
295,@Hrideshrbl =1793,@Hrideshrbl,1793
308,@nifaakkhan =1120,@nifaakkhan,1120
311,@rpsapkota1 =1729,@rpsapkota1,1729
327,@ashokhajeri =1963,@ashokhajeri,1963
340,@VaibhavKaushi18 =1412,@VaibhavKaushi18,1412
344,@kanjiparmar82 =1912,@kanjiparmar82,1912
346,@DSU73Yei5FepuCt =1167,@DSU73Yei5FepuCt,1167
348,@YogeshM52893087 =1191,@YogeshM52893087,1191
349,@ArvindJ88521436 =1746,@ArvindJ88521436,1746
352,@Jitendr40079991 =1955,@Jitendr40079991,1955
357,@Priya04827538 =1365,@Priya04827538,1365
359,@Malikki28089403 =1328,@Malikki28089403,1328
363,@naveenthakur019 =1946,@naveenthakur019,1946
367,@The__Manik =1512,@The__Manik,1512
384,@Riteish_Bjp =1023,@Riteish_Bjp,1023
385,@Subhash61126278 =1521,@Subhash61126278,1521
393,@iamCS_Aj =1453,@iamCS_Aj,1453
395,@Manto_Bajaj678 =1227,@Manto_Bajaj678,1227
397,@SunilKu71423905 =1032,@SunilKu71423905,1032
398,@mishra_amanat =1143,@mishra_amanat,1143
403,@mk506078 =1360,@mk506078,1360
415,@HJS_kiran =1373,@HJS_kiran,1373
428,@SachinV93259133 =1090,@SachinV93259133,1090
436,@InduParihar2 =1307,@InduParihar2,1307
444,@R4rockk =1183,@R4rockk,1183
449,@rakeshgautambjp =1581,@rakeshgautambjp,1581
451,@Ritesh01192 =1256,@Ritesh01192,1256
455,@Mahender7380jui =1754,@Mahender7380jui,1754
462,@GKaushambi =1413,@GKaushambi,1413
467,@RockonBansi =1669,@RockonBansi,1669
475,@kishankshetty =1122,@kishankshetty,1122
479,@RohitDanceChor1 =1385,@RohitDanceChor1,1385
