,handle,handle_name,followers between 400 and 1000
1746,@sundeepbhan1978 =881,@sundeepbhan1978,881
1747,@Rajeev63Rk =628,@Rajeev63Rk,628
1764,@VikasKu90575272 =642,@VikasKu90575272,642
1768,@AzadSin66929154 =805,@AzadSin66929154,805
1772,@Dilkhus80717342 =967,@Dilkhus80717342,967
1774,@_deepdeepak_ =985,@_deepdeepak_,985
1784,@soulinsanskrit =739,@soulinsanskrit,739
1787,@JaniPiyuanjani =619,@JaniPiyuanjani,619
1789,@Subhash09440699 =999,@Subhash09440699,999
1807,@Ashish50084452 =623,@Ashish50084452,623
1808,@Ankitchhokker =492,@Ankitchhokker,492
1827,@mahek108 =925,@mahek108,925
1852,@bhartarmy =861,@bhartarmy,861
1863,@ImDebraj8 =920,@ImDebraj8,920
1877,@debasishansda =540,@debasishansda,540
1883,@Gurunamo =638,@Gurunamo,638
1886,@1009711R =402,@1009711R,402
1890,@Mradul18700765 =421,@Mradul18700765,421
1900,@suhailamd27 =420,@suhailamd27,420
1909,@kunju106 =556,@kunju106,556
1934,@AlokKum93806691 =670,@AlokKum93806691,670
1940,@merajuddin92 =851,@merajuddin92,851
1952,@gowthamvelan =592,@gowthamvelan,592
1966,@a_kejriwalfans =872,@a_kejriwalfans,872
1970,@aap_ashwani =726,@aap_ashwani,726
1973,@NamiSinha =570,@NamiSinha,570
1975,@bankanil =945,@bankanil,945
1985,@dinbandhuram84 =663,@dinbandhuram84,663
1989,@ramanjha_artha =830,@ramanjha_artha,830
2005,@dilli_ka_hu =485,@dilli_ka_hu,485
2015,@Jeetendraa888 =836,@Jeetendraa888,836
2047,@m0nkeyji =801,@m0nkeyji,801
