,handle,handle_name,followers between 5000 and 10000
5,@nigelmoran =9521,@nigelmoran,9521
32,@BhagirathMakwa9 =6229,@BhagirathMakwa9,6229
43,@im_Hrastogi =5100,@im_Hrastogi,5100
59,@satender11 =5061,@satender11,5061
81,@Anilsahnigkp =6962,@Anilsahnigkp,6962
87,@MohanUniyal4 =6530,@MohanUniyal4,6530
98,@shankarlalmla =9145,@shankarlalmla,9145
106,@Rahulprince1432 =7419,@Rahulprince1432,7419
113,@shuklashivam775 =9716,@shuklashivam775,9716
124,@BalakramKushwa1 =5564,@BalakramKushwa1,5564
153,@sportsuncleg =8262,@sportsuncleg,8262
173,@Sejal49158491 =8863,@Sejal49158491,8863
186,@DeVil_RaHul_1 =7094,@DeVil_RaHul_1,7094
221,@EmirSoler =8904,@EmirSoler,8904
246,@DangiRaghuwar =6071,@DangiRaghuwar,6071
267,@raazsharma811 =7120,@raazsharma811,7120
301,@vksingh2624_ =5992,@vksingh2624_,5992
303,@acmaurya66 =5771,@acmaurya66,5771
315,@gdshivpuri =8971,@gdshivpuri,8971
317,@saarthak_bakshi =6260,@saarthak_bakshi,6260
326,@JitendraPatel_ =5706,@JitendraPatel_,5706
380,@rajeevpraj =7274,@rajeevpraj,7274
413,@SaeedAn61146489 =6226,@SaeedAn61146489,6226
414,@hramitab123 =5160,@hramitab123,5160
441,@PintuPa56868468 =5403,@PintuPa56868468,5403
443,@kavitapha =5543,@kavitapha,5543
497,@PushpendraBjpkm =9635,@PushpendraBjpkm,9635
502,@HITENDRA_SINH =8103,@HITENDRA_SINH,8103
554,@Rani_Actress =5298,@Rani_Actress,5298
569,@dinesh_chohan1 =5794,@dinesh_chohan1,5794
575,@Rakesh25182 =9690,@Rakesh25182,9690
587,@imBnand =5369,@imBnand,5369
611,@uttammeena21 =5178,@uttammeena21,5178
626,@rishisi23624943 =5814,@rishisi23624943,5814
633,@DeshrajDungarj1 =5866,@DeshrajDungarj1,5866
648,@PankajRana_ =5317,@PankajRana_,5317
660,@Real_arpitmi =5166,@Real_arpitmi,5166
664,@Ujwal__ =5035,@Ujwal__,5035
666,@C_PUNABHAI =6805,@C_PUNABHAI,6805
704,@JavedAlamPES6 =7533,@JavedAlamPES6,7533
708,@AruneshKumarDix =5793,@AruneshKumarDix,5793
709,@maheshattri1 =5211,@maheshattri1,5211
728,@Rajeev4T =5614,@Rajeev4T,5614
767,@aapka_paddy =8807,@aapka_paddy,8807
768,@trimsbrunee =6828,@trimsbrunee,6828
805,@Paras36613627 =8647,@Paras36613627,8647
812,@shivam0305 =7314,@shivam0305,7314
840,@Bl0lB =6183,@Bl0lB,6183
863,@Sl5SI =9176,@Sl5SI,9176
864,@romisa_a1 =5982,@romisa_a1,5982
869,@ArjunWelcome3 =7294,@ArjunWelcome3,7294
875,@eternalitywell =9673,@eternalitywell,9673
896,@sanjugupta1987 =6326,@sanjugupta1987,6326
945,@AgraMediaa =6256,@AgraMediaa,6256
954,@rahulpra52 =8152,@rahulpra52,8152
975,@ArunPal83066450 =5021,@ArunPal83066450,5021
1016,@khajaria007 =6711,@khajaria007,6711
1018,@Chahat_60 =6768,@Chahat_60,6768
1035,@akhilesh_vajpai =7589,@akhilesh_vajpai,7589
1042,@itsAnshuPatel =9060,@itsAnshuPatel,9060
1057,@Dwivedigk33 =8826,@Dwivedigk33,8826
1069,@gouravraghu206 =5587,@gouravraghu206,5587
1070,@lalitvats828 =6751,@lalitvats828,6751
1096,@sunil101k =6477,@sunil101k,6477
1100,@AvinashMeena143 =9492,@AvinashMeena143,9492
1102,@dineshjangid_Om =7709,@dineshjangid_Om,7709
1105,@IshwarD73900150 =5322,@IshwarD73900150,5322
1108,@chaudhary_pt =7891,@chaudhary_pt,7891
1118,@pundirrk =9743,@pundirrk,9743
1174,@gujarati__raju =7696,@gujarati__raju,7696
1177,@BindasAmit001 =5353,@BindasAmit001,5353
1223,@DhirajK52008047 =6639,@DhirajK52008047,6639
1245,@brhama_nand =6386,@brhama_nand,6386
1255,@Vision20193 =5611,@Vision20193,5611
1260,@hbbhadka =9037,@hbbhadka,9037
1263,@Soni94148 =7287,@Soni94148,7287
1277,@J_MSharma =6424,@J_MSharma,6424
1280,@Anuj_Singh34 =7749,@Anuj_Singh34,7749
1281,@trineshmondal =7472,@trineshmondal,7472
1305,@Rajeevdut =5094,@Rajeevdut,5094
1307,@rajinderchahal1 =6062,@rajinderchahal1,6062
1308,@RajibLive_ =5295,@RajibLive_,5295
1322,@RaviRaj77090 =7135,@RaviRaj77090,7135
1325,@Rajrockstarsing =6317,@Rajrockstarsing,6317
1328,@PujaRan77090 =6902,@PujaRan77090,6902
1329,@iSKDC =6491,@iSKDC,6491
1334,@Deepak6665 =5261,@Deepak6665,5261
1345,@Sabu4mjupitor =6789,@Sabu4mjupitor,6789
1348,@rahul_tyagi1986 =6096,@rahul_tyagi1986,6096
1356,@T_K_Chauhan =5841,@T_K_Chauhan,5841
1361,@d3r3k_6araka =8576,@d3r3k_6araka,8576
1368,@anujumaagrawal =7069,@anujumaagrawal,7069
1374,@iambanarsibabu =5676,@iambanarsibabu,5676
1393,@SanjayGupta____ =8748,@SanjayGupta____,8748
1395,@sandesh6623 =9836,@sandesh6623,9836
1410,@Bo6FMuITBxQtUie =5620,@Bo6FMuITBxQtUie,5620
1418,@NaareshVyass =9331,@NaareshVyass,9331
1427,@OmiSharma_IND =5244,@OmiSharma_IND,5244
1428,@PramodkumarTriv =5794,@PramodkumarTriv,5794
1445,@yogeshjangir82 =7858,@yogeshjangir82,7858
1454,@BhattaraiKajal =8473,@BhattaraiKajal,8473
1459,@manojku05742927 =7424,@manojku05742927,7424
1481,@kanaya_ai =8945,@kanaya_ai,8945
1489,@SaveWat18562111 =5822,@SaveWat18562111,5822
1491,@IshanTutorial =8390,@IshanTutorial,8390
1496,@maxx_bindas =6888,@maxx_bindas,6888
1497,@Seemy5551 =6818,@Seemy5551,6818
1498,@ashok769962 =6094,@ashok769962,6094
1502,@AdvoPradeep1 =6143,@AdvoPradeep1,6143
1510,@Rajesh1231lmp =5835,@Rajesh1231lmp,5835
1511,@madanmo11430207 =6541,@madanmo11430207,6541
1530,@Bairagi_sk33 =6185,@Bairagi_sk33,6185
1537,@mkdausa =7356,@mkdausa,7356
1543,@LPSonawane =9501,@LPSonawane,9501
1545,@PankajK64520047 =5913,@PankajK64520047,5913
1547,@VandanaRajpoot_ =8389,@VandanaRajpoot_,8389
1558,@MukeshMsagar =8007,@MukeshMsagar,8007
1573,@Aabhashawasthi =6477,@Aabhashawasthi,6477
1592,@Abhay_salaria__ =9570,@Abhay_salaria__,9570
1594,@Sandeep01071996 =8285,@Sandeep01071996,8285
1595,@naveenn99292476 =5087,@naveenn99292476,5087
1596,@iamdchandan =5415,@iamdchandan,5415
1599,@SophiaMelnykUA =5852,@SophiaMelnykUA,5852
1604,@Prajjval_ =7676,@Prajjval_,7676
1608,@sagaraphale =8496,@sagaraphale,8496
1620,@whoamitpandit =9878,@whoamitpandit,9878
1623,@Rahulmanai =9973,@Rahulmanai,9973
1627,@sapsafoon =7423,@sapsafoon,7423
1645,@shankarpal_mali =5030,@shankarpal_mali,5030
1653,@bhuraram982011 =8304,@bhuraram982011,8304
1741,@Vrushabchougale =9815,@Vrushabchougale,9815
1770,@Olivia09480031 =5098,@Olivia09480031,5098
1817,@1sachin0 =8144,@1sachin0,8144
