Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
1.1883E+18,https://twitter.com/dhurtladki/status/1188303227919327232,A very #HappyDeepavali to our Jawans. They sacrifice their time with loved ones so we can celebrate. Happy Diwali to their families too. 🙏 #HappyDeepavali https://t.co/dgNt2m5mEr,2019-10-27 03:55 +0000,232,21,0.090517241,1,1,6,1,0,0,0,0,0,0,0,0,0,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18808E+18,https://twitter.com/dhurtladki/status/1188083420615725058,"Wishing you all a wonderful #ChotiDiwali.
Enjoy to the fullest.",2019-10-26 13:22 +0000,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18793E+18,https://twitter.com/dhurtladki/status/1187929105066422273,@vj9819 @mntlive @khbarbaazi @ABVP61405772 @riya_66 @Skm68161011 @Paras36613627 @PushpendraBjpkm @SaravagK @Jagadish_100 @gkr8298 @Darshan218630 @tankarvind @anuragtiwarivip @onlymodi4india @Sabu4mjupitor @SatishSharmaMla @priya_garg2230 @akkicv3 @dhurtaa,2019-10-26 03:09 +0000,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18793E+18,https://twitter.com/dhurtladki/status/1187929055577825280,@Pari_singh_ @dhurtaadmi,2019-10-26 03:08 +0000,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18772E+18,https://twitter.com/dhurtladki/status/1187724267107971072,"ये है ‘‘मोदी का न्यू इंडिया’’ 😍😍
#अमेरिका के राष्ट्रपति भवन में जोर-शोर से #दीपावली का जश्न मनाया जायेगा।
#जय_श्रीराम 🙏🙏",2019-10-25 13:35 +0000,141,4,0.028368794,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18743E+18,https://twitter.com/dhurtladki/status/1187430535540305921,❤️❤️❤️😍❤️❤️❤️ https://t.co/Zyw0xvqGpV,2019-10-24 18:07 +0000,114,14,0.122807018,0,0,3,1,0,0,0,0,0,0,0,0,0,25,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18743E+18,https://twitter.com/dhurtladki/status/1187428283635253248,@vishakhamishra_ @dhurtaadmi,2019-10-24 17:58 +0000,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18723E+18,https://twitter.com/dhurtladki/status/1187228353549365249,@vishakhamishra_ Good morning,2019-10-24 04:44 +0000,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18707E+18,https://twitter.com/dhurtladki/status/1187068751977385984,@SharibZaidi5 @gyangunjan @rktiwari25 @itsSisodia @AnvikaCute @anandjhaoffici1 @cute_thakurain @VandanaRajpoot_ @iPrernaSingh @Dona0S @nehagkp1 @RamashraySoni @satender11 @MaheshNayak221 @VishalP98441901 हुआ @dhurtaadmi,2019-10-23 18:10 +0000,19,3,0.157894737,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18707E+18,https://twitter.com/dhurtladki/status/1187068301500809218,@NewsRashtra @RahulGandhi @INCIndia हुतिया लोग,2019-10-23 18:08 +0000,22,1,0.045454545,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18707E+18,https://twitter.com/dhurtladki/status/1187068076732243968,".
*सभी ज्ञानचंद रायचंद. खामोश रहे।🙄🙄🙄*
*बम पटाखे का आनंद लीजिये। .....
*इससे डेंगू
*चिकनगुनिया के मच्छर मरेंगे यह स्वास्थ्य
*वर्धक है …
*जिसे प्रदुषण की बहुत
*चिंता है .....
*वो सबसे पहले अपनी गाडी बेचे और
*साइकिल का इस्तेमाल करे !

3/3",2019-10-23 18:07 +0000,87,2,0.022988506,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.18707E+18,https://twitter.com/dhurtladki/status/1187068023456141312,"मिडिया और पर्यावरण के रखवालो को पर्यावरण बचाने की याद सभी हिन्दू त्यौहारो पर ही आती है|
जम के पटाखे छुड़ाइये, दिवाली है,
कोई "" नवाज़ शरीफ"" का अंतिम संस्कार नही है जो मातम मनाएं, बाकि के 364 दिन है पर्यावरण के लिए...
2/3",2019-10-23 18:07 +0000,116,3,0.025862069,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
